movement_id,timestamp
"311,312",2026-03-31T13:17:15.774090
"312,313",2026-03-31T13:17:22.347998
"313,314",2026-03-31T13:17:28.752470
"314,315",2026-03-31T13:17:35.746264
"315,316",2026-03-31T13:17:41.783989
"316,317",2026-03-31T13:17:48.060281
"317,318",2026-03-31T13:17:54.962409
"318,319",2026-03-31T13:18:00.965378
"319,320",2026-03-31T13:18:07.719779
"320,321",2026-03-31T13:18:14.334175
"321,322",2026-03-31T13:18:20.271333
"322,323",2026-03-31T13:18:26.543165
"323,324",2026-03-31T13:18:32.964652
"324,325",2026-03-31T13:18:39.352445
"325,326",2026-03-31T13:18:45.886155
"326,327",2026-03-31T13:18:52.461408
"327,328",2026-03-31T13:18:59.228257
"328,329",2026-03-31T13:19:05.599363
"329,330",2026-03-31T13:19:12.207331
"330,331",2026-03-31T13:19:18.633472
"331,332",2026-03-31T13:19:25.186860
"332,333",2026-03-31T13:19:31.516164
"333,334",2026-03-31T13:19:37.942927
"334,335",2026-03-31T13:19:44.336282
"335,336",2026-03-31T13:19:50.545282
"336,337",2026-03-31T13:19:56.782043
"337,338",2026-03-31T13:20:03.113507
"338,339",2026-03-31T13:20:09.188218
"339,340",2026-03-31T13:20:15.185626
"340,341",2026-03-31T13:20:21.732866
"341,342",2026-03-31T13:20:28.581938
"342,343",2026-03-31T13:20:34.915127
"343,344",2026-03-31T13:20:42.047456
"344,345",2026-03-31T13:20:48.622655
"345,346",2026-03-31T13:20:55.001233
"346,347",2026-03-31T13:21:01.274477
"347,348",2026-03-31T13:21:07.773390
"348,349",2026-03-31T13:21:13.845930
"349,350",2026-03-31T13:21:19.474119
"350,351",2026-03-31T13:21:25.179346
"351,352",2026-03-31T13:21:30.885541
"352,353",2026-03-31T13:21:36.661894
"353,354",2026-03-31T13:21:42.780710
"354,355",2026-03-31T13:21:49.059990
"355,356",2026-03-31T13:21:55.143161
"356,357",2026-03-31T13:22:00.817831
"357,358",2026-03-31T13:22:06.696560
"358,359",2026-03-31T13:22:12.952847
"359,360",2026-03-31T13:22:19.101036
"360,361",2026-03-31T13:22:25.697754
"361,362",2026-03-31T13:22:32.453805
"362,363",2026-03-31T13:22:38.668741
"363,364",2026-03-31T13:22:45.247393
"364,365",2026-03-31T13:22:51.743312
"365,366",2026-03-31T13:22:58.191412
"366,367",2026-03-31T13:23:04.718105
"367,368",2026-03-31T13:23:11.147603
"368,369",2026-03-31T13:23:17.629896
"369,370",2026-03-31T13:23:23.872623
"370,371",2026-03-31T13:23:30.320679
"371,372",2026-03-31T13:23:36.527594
"372,373",2026-03-31T13:23:43.015140
"373,374",2026-03-31T13:23:49.362367
"374,375",2026-03-31T13:23:55.874560
"375,376",2026-03-31T13:24:02.218650
"376,377",2026-03-31T13:24:08.533830
"377,378",2026-03-31T13:24:14.736884
"378,379",2026-03-31T13:24:21.067412
"379,380",2026-03-31T13:24:27.452845
"380,381",2026-03-31T13:24:33.662690
"381,382",2026-03-31T13:24:40.248914
"382,383",2026-03-31T13:24:46.691851
"383,384",2026-03-31T13:24:53.243368
"384,385",2026-03-31T13:24:59.616125
"385,386",2026-03-31T13:25:05.708520
"386,387",2026-03-31T13:25:11.859817
"387,388",2026-03-31T13:25:18.464126
"388,389",2026-03-31T13:25:24.583508
"389,390",2026-03-31T13:25:30.844448
"390,391",2026-03-31T13:25:36.609114
"391,392",2026-03-31T13:25:42.430352
"392,393",2026-03-31T13:25:47.941894
"393,394",2026-03-31T13:25:53.845056
"394,395",2026-03-31T13:25:59.240905
"395,396",2026-03-31T13:26:04.196740
"396,397",2026-03-31T13:26:09.487076
"397,398",2026-03-31T13:26:14.739537
"398,399",2026-03-31T13:26:19.994339
"399,400",2026-03-31T13:26:25.242593
"400,401",2026-03-31T13:26:30.437264
"401,402",2026-03-31T13:26:35.542616
"402,403",2026-03-31T13:26:41.104554
"403,404",2026-03-31T13:26:46.611733
"404,405",2026-03-31T13:26:51.689951
"405,406",2026-03-31T13:26:56.787909
"406,407",2026-03-31T13:27:02.133692
"407,408",2026-03-31T13:27:07.480703
"408,409",2026-03-31T13:27:13.157121
"409,410",2026-03-31T13:27:18.745930
"410,411",2026-03-31T13:27:24.267165
"411,412",2026-03-31T13:27:30.341555
"412,413",2026-03-31T13:27:35.914241
"413,414",2026-03-31T13:27:41.443724
"414,415",2026-03-31T13:27:47.390673
"415,416",2026-03-31T13:27:52.996539
"416,417",2026-03-31T13:27:58.315474
"417,418",2026-03-31T13:28:03.931891
"418,419",2026-03-31T13:28:09.323956
"419,420",2026-03-31T13:28:15.726533
"420,421",2026-03-31T13:28:22.948416
"421,422",2026-03-31T13:28:29.177334
"422,423",2026-03-31T13:28:35.035432
"423,424",2026-03-31T13:28:40.937017
"424,425",2026-03-31T13:28:47.149518
"425,426",2026-03-31T13:28:53.113275
"426,427",2026-03-31T13:28:59.634357
"427,428",2026-03-31T13:29:06.480473
"428,429",2026-03-31T13:29:12.831156
"429,430",2026-03-31T13:29:19.196504
"430,431",2026-03-31T13:29:25.580887
"431,432",2026-03-31T13:29:32.040541
"432,433",2026-03-31T13:29:38.675838
"433,434",2026-03-31T13:29:45.422736
"434,435",2026-03-31T13:29:51.719707
"435,436",2026-03-31T13:29:57.961442
"436,437",2026-03-31T13:30:04.137727
"437,438",2026-03-31T13:30:09.953323
"438,439",2026-03-31T13:30:15.852404
"439,440",2026-03-31T13:30:22.153667
"440,441",2026-03-31T13:30:28.290724
"441,442",2026-03-31T13:30:34.616241
"442,443",2026-03-31T13:30:41.310595
"443,444",2026-03-31T13:30:48.014296
"444,445",2026-03-31T13:30:54.886142
"445,446",2026-03-31T13:31:01.393890
"446,447",2026-03-31T13:31:07.718416
"447,448",2026-03-31T13:31:14.379250
"448,449",2026-03-31T13:31:21.216901
"449,450",2026-03-31T13:31:27.547911
"450,451",2026-03-31T13:31:33.267574
"451,452",2026-03-31T13:31:39.419235
"452,453",2026-03-31T13:31:45.826107
"453,454",2026-03-31T13:31:52.122386
"454,455",2026-03-31T13:31:58.024439
"455,456",2026-03-31T13:32:03.821871
"456,457",2026-03-31T13:32:09.574876
"457,458",2026-03-31T13:32:14.720548
"458,459",2026-03-31T13:32:19.850255
"459,460",2026-03-31T13:32:24.318482
"460,461",2026-03-31T13:32:28.345402
"461,462",2026-03-31T13:32:32.637038
"462,463",2026-03-31T13:32:36.978254
"463,464",2026-03-31T13:32:42.391174
"464,465",2026-03-31T13:32:46.912924
"465,466",2026-03-31T13:32:51.697507
"466,467",2026-03-31T13:32:56.155309
"467,468",2026-03-31T13:33:00.566251
